app,userName,rating,title,review,date,is_about_app,primary_theme,sentiment,specific_complaint,feature_request,severity,content_quality
lidl-plus,Sabrina,2,,"Seit dem letzten Update geht kaum etwas. Das Menü ""Profil"" mit den allgemeinen Daten, Einkäufen usw funktioniert nicht. Hier erscheint nur eine weiße Fläche. Dadurch kann ich einen gekauften Artikel nicht zurück geben, weil ich u.a. keinen Zugriff auf die Kassenzettel habe. Desweiteren werden die Partnervorteile nicht mehr angezeigt ""Etwas ist schiefgelaufen! Bitte prüfe deine Internetverbindung und versuche es erneut."" Hätte gerne den Shell-Vorteil genutzt, der beworben wurde...",2026-05-23T15:04:08,True,Performance & stability,negative,"Nach Update sind Profilbereich und Partnervorteile nicht abrufbar, Kassenzettel nicht einsehbar.",Profil und Partnervorteile nach Update wieder funktionsfähig machen.,high,substantive
lidl-plus,Renate Nordloh,5,,"Nettes Personal, sehr gutes Obst und Gemüse.",2026-05-23T14:59:39,False,In-store experience,positive,,,low,insufficient
lidl-plus,Borhan Damir,5,,ganz gut,2026-05-23T14:58:44,True,Other / unclear,positive,,,low,insufficient
lidl-plus,Mark Rabe,2,,"Leiser ist es im Moment nicht möglich, sich mit einem bestehenden Account anzumelden. Ea kommt immer die Meldung: Die Kapazität wurde überschritten. Auch nach Löschen der Daten und Neuinstallation.",2026-05-23T12:21:55,True,Authentication & login,negative,"Anmeldung schlägt mit Meldung 'Kapazität überschritten' fehl, auch nach Neuinstallation.",Kapazitätsfehler beim Login beheben.,high,substantive
lidl-plus,Andreas Leonhardt,3,,"update: auch Onlineshop Suchergebnisse Seite ist extrem träge geworden. was habt ihr da jeder an einem Update geändert? ... nutze schon lange die App, allerdings seit paar Tagen durch neue Einblendungen auf der Startseite ist diese extrem träge und CPU-lastig geworden. vermutlich irgend ein animierter Banner.",2026-05-23T12:05:33,True,Performance & stability,negative,"Startseite und Onlineshop-Suche sind nach Update extrem träge und CPU-lastig, vermutlich wegen animierter Banner.",Performance-Probleme durch Banner-Animationen auf Startseite beheben.,medium,substantive
lidl-plus,Michael Tanski,2,,Okay seit letzter Woche kann man zwar auch mit der Android 17 QPR 2 die Liddle-Apo wieder starten aber wenn man versucht sich mit seinen seit mehreren Jahren bestehenden Kundendaten in seinen Account einzuloggen bekommt man die Fehlermeldung das die Kapazitäten der App erschöpft seien ... sollte dringend gefixt werden 😴😴😴,2026-05-23T10:56:20,True,Authentication & login,negative,Login mit bestehendem Account scheitert mit Fehlermeldung 'Kapazitäten erschöpft'.,Kapazitätsfehler beim Login dringend beheben.,high,substantive
lidl-plus,Annika Becklem,3,,"Hallo, ich habe heute für über 100 Euro bei Ihnen eingekauft! Die Rabatte der App wurden abgezogen. Aber der Einkauf wurde mir beim Rabattsammler nicht gutgeschrieben! Ich wollte fragen, ob es zu Verzögerung bei größeren Summen kommen kann oder ob es ein Fehler in der App ist?",2026-05-23T10:54:15,True,Loyalty program mechanics,neutral,Einkauf über 100 Euro wurde im Rabattsammler nicht gutgeschrieben.,Korrekte und zeitnahe Gutschrift von Einkäufen im Rabattsammler sicherstellen.,medium,substantive
lidl-plus,Rouven Goldmann,1,,"Man steht im Laden, will die App nutzen und kann sich aufgrund von Kapazität nicht anmelden....***",2026-05-23T10:54:04,True,Authentication & login,negative,Anmeldung im Laden wegen Kapazitätsmeldung nicht möglich.,,high,substantive
lidl-plus,Matteo Lustigoso,1,,"Schon wieder Login-Probleme: ""Login fehlgeschlagen -The refresh token is invalid"" Wie schon zuvor, kann ich die App neuinstllieren, so viel ich will, hilft alles nichts. Lidl Connect ist für mich nur noch frustrierend. Inzwischen bereue ich, mich für den Jahrestarif entschieden zu haben. Das war nicht immer so. Spätestens nach Ablauf der Zeit, vermutlich aber schon eher, wechsel ich den Anbieter. Sorry, bin keine Lust mehr drauf.",2026-05-23T10:05:38,True,Authentication & login,negative,"Wiederkehrender Login-Fehler 'The refresh token is invalid', auch Neuinstallation hilft nicht.",Refresh-Token-Problem beim Login dauerhaft beheben.,high,substantive
lidl-plus,Μαρκ Μαγеρ,1,,"man geht gezielt einkaufen und nicht wegen irgendwelchen ""sch.. kinder-rubbeln-kramm"" angeboten die uns persönlich nicht im geringsten interessieren, viel wichtiger wäre es, rabattierung auf's gesamten einkauf, was in letzter zeit nicht mehr gegeben ist und der mehrwert von dem ganzen app gleich ""0"" ist, auser digitalem kassenbon, so zusagen: danke für nichts.!",2026-05-23T06:40:10,True,Coupons & discounts,negative,"App bietet nur uninteressante Aktionen statt echter Rabatte auf den Gesamteinkauf, geringer Mehrwert.",Rabatte auf den gesamten Einkauf statt nur einzelne Aktionsangebote anbieten.,medium,substantive
lidl-plus,Danny Walch,2,,"Funktioniert jetzt halbwegs wieder mit Android 17, aber Pay leider noch nicht.",2026-05-23T01:50:01,True,Payment & checkout,negative,Lidl Pay funktioniert unter Android 17 weiterhin nicht.,Lidl Pay mit Android 17 kompatibel machen.,high,substantive
lidl-plus,a,1,,"Mein Datenpaket ist abgelaufen aber ich kann mich nicht einloggen mit der Fehlermeldung ""Refresh token invalid"". Habe also kein mobiles Internet. Absolutes No Go!",2026-05-23T01:42:54,True,Authentication & login,negative,"Login schlägt fehl mit Fehlermeldung 'Refresh token invalid', insbesondere ohne mobiles Internet.",Offline-Login oder zwischengespeicherte Anmeldung ermöglichen.,high,substantive
lidl-plus,Jűrgen Freund,4,,"Wenn es nicht ständig neue Geschäftsbedingungen gäbe, welche man bestätigen muss, gebe es 5 Punkte.",2026-05-22T21:53:50,True,"Other app features (themes, accessibility, customization)",negative,Ständig neue AGB müssen bestätigt werden.,AGB-Bestätigungen seltener anfordern.,low,substantive
lidl-plus,Gon Ton,4,,Dark Mode wäre nicht schlecht,2026-05-22T21:26:44,True,"Other app features (themes, accessibility, customization)",neutral,,Dark Mode einführen.,low,substantive
lidl-plus,Steffen Schneider,2,,"Läuft wieder bis auf Lidl Pay..... Auch nach über zwei Monaten geht immer noch nichts!!! Dafür freuen sich Aldi, Edeka und Co. über meinen Besuch. Nach über einem Monat funktioniert die App nicht unter Android 17 Beta. Die Ausreden, dass nur stabile Versionen unterstützt werden, ist schon peinlich für so ein großes Unternehmen. Merkwürdige Antwort von Lidl: ""bestimmte Systemfunktionen noch nicht stabil"" - Die App funktioniert gar nicht mehr, bzw. lässt sich auch nicht neu installieren!",2026-05-22T21:13:17,True,Performance & stability,negative,App und Lidl Pay funktionieren seit Monaten nicht unter Android 17 Beta.,Unterstützung für Android 17 sicherstellen.,high,substantive
lidl-plus,Lvkan,1,,Eingendlich nur ein PDF Reader für einen Lidl Prospekt. Wer will durch 75 Seiten blättern?,2026-05-22T19:48:17,True,Search & navigation,negative,"Prospekt ist nur ein PDF mit 75 Seiten, durch das man blättern muss.","Interaktiver, durchsuchbarer Prospekt statt PDF.",medium,substantive
lidl-plus,Har Ha,2,,"Gratis Artikel in 6 {sechs}Filialen nicht bekommen.Aktionware war zwar vorhanden bis auf eine Filiale waren alle Verpackungen bereits schon einmal {da gab es aber nicht den dazugehörigen Akku}geöffnet und genau auffällig gleich neu verklebt (2te Wahl). Daher konnte ich nichts gebrauchen,da es ein Geschenk werden sollte.",2026-05-22T18:39:58,False,In-store experience,negative,Gratis-Artikel waren in mehreren Filialen nicht verfügbar oder bereits geöffnet.,,low,substantive
lidl-plus,Alfred Lehmann,1,,"Was soll der Blödsinn, dass ständig app-änderungen mit älteren Geräten nicht mehr erreichbar sind. Soll ich mir jedes Mal ein neues Gerät kaufen. Danke für den Umweltschutz. Mit unfreundlichen Grüssen",2026-05-22T15:59:07,True,Performance & stability,negative,App-Updates unterstützen ältere Geräte nicht mehr.,Kompatibilität mit älteren Geräten beibehalten.,high,substantive
lidl-plus,base64,3,,"Ich stehe so an der Lidl Kasse und denke mir nichts böses dabei, kein Bargeld mitzuführen. Denn: Ich habe ja die LIDL PLUS APP. Doch dann: Beim Einloggen bekomme ich welche Fehlermeldung: falsches Kennwort oder falscher Benutzername? Nein: die Fehlermeldung lautet ""Kapazität überschritten"" Na da schau mal einer an, wer hätte das gedacht. ... Falls das nochmal passiert,verzichte ich zukünftig auf Rabatte, und schaue mich mal bei den Konkurrenten um ... ALDI, bitte lass mich nicht auch im Stich",2026-05-22T15:35:59,True,Authentication & login,negative,Login an der Kasse schlug mit Fehlermeldung 'Kapazität überschritten' fehl.,"Serverkapazitäten erhöhen, damit Login an der Kasse zuverlässig funktioniert.",high,substantive
lidl-plus,Rene Raith,1,,ich kann mich nicht registrieren wenn ich Firefox benutze. nur mit crome hat es funktioniert.,2026-05-22T14:59:16,True,Onboarding & registration,negative,"Registrierung funktioniert nicht in Firefox, nur in Chrome.",Registrierung browserübergreifend ermöglichen.,medium,substantive
lidl-plus,Mathias,3,,"Verbesserungsvorschlag: eine Einkaufsliste, die mit den hinterlegten Prospekten gekoppelt ist. Sprich, man kann in den Prospekten auf einzelne Artikel klicken und diese somit einer Einkaufsliste hinzufügen. Das würde das ganze Erlebnis in der App sehr verbessern und man würde sie öfter verwenden und nicht nur an der Kasse abscannen (wenn man das denn nicht auch vergisst)",2026-05-22T11:11:27,True,Shopping list features,neutral,Prospekte und Einkaufsliste sind nicht miteinander verknüpft.,Artikel aus Prospekten direkt zur Einkaufsliste hinzufügen können.,medium,substantive
lidl-plus,Marina B,1,,schon zum x mal spinnt das Programm....,2026-05-22T08:56:44,True,Performance & stability,negative,App funktioniert wiederholt nicht zuverlässig.,,high,insufficient
lidl-plus,Ein Google-Nutzer,4,,könnte besser sein,2026-05-22T01:18:04,True,Other / unclear,neutral,,,low,insufficient
lidl-plus,Thomas Ciliax,2,,"lidl pay Registrierung katastrophal, Hotline genau so",2026-05-22T00:18:57,True,Onboarding & registration,negative,Lidl Pay Registrierung und Hotline sind katastrophal.,Registrierungsprozess für Lidl Pay vereinfachen.,high,insufficient
lidl-plus,Sebastian Hans,1,,"Die Aktivierung war ein Graus. Nach gefühlt 30 Versuchen (auch mit Deinstallieren etc.) habe ich endlich eine Zugangsnummer per SMS bekommen. Ich weiß gar nicht, warum ich so viel Zeit investiert habe. Schön doof.",2026-05-21T23:45:51,True,Onboarding & registration,negative,"Aktivierung erforderte zahlreiche Versuche, bis SMS mit Zugangsnummer ankam.",Aktivierungsprozess zuverlässiger gestalten.,high,substantive
lidl-plus,Hasan Hasan,1,,Devamli acont istiyor giriyorum olmuyor,2026-05-21T23:32:44,True,Authentication & login,negative,"Login funktioniert nicht, App fragt ständig nach Konto.",,high,insufficient
lidl-plus,Be* happy,1,,"App kann man zwar runterladen, aber trotz unzähliger Versuche kann man seine Daten nicht eingeben. Ein angeforderter Zugang wird nie per SMS geschickt. vollkommener Schrott, Danke für nichts. Früher war die App einwandfrei !",2026-05-21T21:46:51,True,Onboarding & registration,negative,SMS mit Zugangsdaten kommt trotz unzähliger Versuche nie an.,Zuverlässigen SMS-Versand für Zugangsdaten sicherstellen.,high,substantive
lidl-plus,Marco Völker,2,,"Leider sehr unausgereift Zum einen muss man beim Registrierungsprozess 3x seine Adresse angeben und bevor man den ersten Ladevorgang starten kann ein weiteres mal. Eigentlich könnte man sich denken, dass eine einmalige Abgabe der Adresse ausreichte sollte... Sehr unzuverlässiger Verbindungsaufbau mit der Ladesäule, von dutzenden Versuchen hat es ein einziges Mal geklappt, ansonsten hat die App gekringelt und gekringelt und gekringelt und nichts ist passiert PS: Ich verwende natürlich keine beta",2026-05-21T21:11:52,True,Onboarding & registration,negative,Adresse muss mehrfach eingegeben werden und Verbindung zur Ladesäule schlägt fast immer fehl.,Einmalige Adresseingabe und zuverlässigerer Verbindungsaufbau mit Ladesäulen.,high,substantive
lidl-plus,B R (Bernd),1,,"Und schon wieder hereingefallen! Bei den Coupons gibt es Menüs, wählt man aus jeder Rubrik einen Artikel, tippt auf aktivieren, sollte man 30 % Rabatt erhalten. Aber der Coupon wird nicht aktiviert! Klickt man erneut den Coupon an, sieht man die 3 gewählten Artikel und der Coupon wird wieder nicht aktiviert! Testet denn niemand bevor etwas Live geht? Aber das Größte ist die Antwort von Lidl, als wäre man zu blöd zum aktivieren und das Problem haben sie immer noch nicht verstanden!",2026-05-21T20:58:55,True,Coupons & discounts,negative,Menü-Coupons mit 30% Rabatt lassen sich nicht aktivieren.,Coupon-Aktivierung für Menüs korrekt funktionieren lassen.,high,substantive
lidl-plus,Cezmi,5,,gut,2026-05-21T19:28:56,True,Other / unclear,positive,,,low,insufficient
lidl-plus,D A,1,,"Diese Coupon-Aktionen, bei denen man erst alles einzeln auswählen und in der App aktivieren muss, sind einfach nur unnötig umständlich und zeitraubend. Statt den Einkauf einfacher zu machen, kostet es jedes Mal extra Zeit und Nerven. Es reicht schon, dass man durch das Pfandsystem ständig zusätzlichen Aufwand hat – jetzt muss man auch noch in der App alles mühsam anklicken, nur um Angebote nutzen zu können. Kundenfreundlich ist das leider nicht. Bitte macht solche Aktionen einfacher und direkt",2026-05-21T18:57:23,True,Coupons & discounts,negative,"Coupons müssen einzeln in der App aktiviert werden, was umständlich und zeitraubend ist.",Coupons automatisch und ohne manuelle Aktivierung anwenden.,medium,substantive
lidl-plus,Armin Spengler,1,,Hab neugierdehalber die app wieder installiert u mich registriert vor ein paar Tagen. Und jetzt krieg ich Anrufe unbekannter Nummern......zeigt ganz deutlich was lidl mit den Daten seiner Kunden macht 😡 EDIT Antwort ist Standard blabla,2026-05-21T17:31:42,True,Privacy & data concerns,negative,Nach Registrierung erhält der Nutzer Anrufe unbekannter Nummern und vermutet Datenweitergabe.,,high,substantive
lidl-plus,Marcel Thoms,2,,eine Änderung der Teilnahmebedingungen na dann OK. Die neuen Teilnahmebedingungen Download funktioniert nicht! Schalter geht ins Nirvana also Katze im Sack oder was? Programmierfehler!,2026-05-21T14:37:05,True,Performance & stability,negative,"Download der neuen Teilnahmebedingungen funktioniert nicht, Schalter reagiert nicht.",,medium,substantive
lidl-plus,Anny Ruch,2,,Macht es mit einer Kundenkarte. Wie Migros und Coop. Dann wäre ich auch dabei.,2026-05-21T14:13:39,False,Loyalty program mechanics,negative,Nutzer wünscht physische Kundenkarte statt App.,Physische Kundenkarte wie bei Migros oder Coop anbieten.,low,insufficient
lidl-plus,David Mödinger,1,,"Alter Schwede sind die Prozesse in dieser App unnötig umständlich um irgendwas zu erreichen. Mal kurz registrieren um die eauto Infrastruktur zu nutzen? Lol viel Glück, bis man damit durch ist, ist man an anderen Säulen voll geladen. Dann kann man dabei grundlos nicht mit Kredit oder debit Karte zahlen, die iban Verifikation ist langsam (und das iban Eingabefeld ist dumm weil meine mobile Tastatur De getippt hat statt DE...) ich musste so oft meine Adresse angeben etc ...",2026-05-21T11:01:27,True,Onboarding & registration,negative,"Registrierung für E-Auto-Ladesäulen ist langsam, IBAN-Verifikation träge, keine Kreditkartenzahlung möglich.",Schnellere Registrierung und Kredit-/Debitkartenzahlung an Ladesäulen ermöglichen.,high,substantive
lidl-plus,Petra C0hrsen,5,,sehr netteMitarbeiter Gute Angebot e Für behinderten gut 👍 👍 👍 👍 👍 😘😘,2026-05-21T08:56:01,False,In-store experience,positive,,,low,insufficient
lidl-plus,Christel Schulz,1,,Nur ein Stern Der Tank Rabatt funktioniert nicht 😔,2026-05-21T08:27:16,True,Coupons & discounts,negative,Der Tankrabatt funktioniert nicht.,,high,substantive
lidl-plus,K.,5,,Übersichtlich und gut,2026-05-21T02:22:31,True,Other / unclear,positive,,,low,insufficient
lidl-plus,Franz MC Brez,1,,Leider funktioniert das Senden der SMS zur Bestätigung der Telefonnummer nicht. Auch nach Neu Installation kommt keine SMS,2026-05-20T23:04:31,True,Authentication & login,negative,Bestätigungs-SMS zur Telefonnummer wird auch nach Neuinstallation nicht zugestellt.,,high,substantive
lidl-plus,Simone Thiele,1,,"Ich nutzte die App gern und regelmäßig. Nun aber führt ein Update, über das ich mich freuen soll, zum Totalausfall, da das Gerät angeblich zu alt ist. Ich gehe gleich los und hole mir ein neues. Sicher! ☹",2026-05-20T20:01:38,True,Performance & stability,negative,Nach Update funktioniert die App auf älteren Geräten nicht mehr.,Kompatibilität mit älteren Geräten beibehalten.,high,substantive
lidl-plus,Madeleine Brönnimann,4,,"wie schon einige Male mitgeteilt, ist es einfach sehr schade, dass vieles aufgerissen und nicht gekauft wird. 😡",2026-05-20T19:19:38,False,In-store experience,negative,"Produkte werden im Laden aufgerissen, aber nicht gekauft.",,low,substantive
lidl-plus,Trouble Diana,1,,"Eigentlich war ich voll und ganz zufrieden mit der App. Seit letzter Woche kann ich den Button für die Zahlungsmethode nicht mehr aktivieren. Es kommt eine Fehlermeldung ""Es ist was schiefgelaufen! Bitte prüfe deine Internetverbindung und versuche es erneut"" Ich habe alles probiert, aber es funktioniert nicht. WLAN nicht und auch die mobilen Daten nicht. Ich habe keine Probleme bei einer anderen App. Was tun?",2026-05-20T18:07:03,True,Payment & checkout,negative,"Zahlungsmethode lässt sich nicht aktivieren, Fehlermeldung trotz funktionierender Internetverbindung.",,high,substantive
lidl-plus,Marianne Vespermann,1,,Es funktioniert leider gar nichts,2026-05-20T17:21:26,True,Performance & stability,negative,Nichts in der App funktioniert.,,high,insufficient
lidl-plus,Millenium M.G,3,,"ich kann mich nicht mehr einloggen es kommt immer der Browser mit der neu Registrierung. Dann Konto existiert, dann Email mit Bestätigungscode. Dann werde ich aufgefordert neues passwort....dann geht's wieder von vorne los....",2026-05-20T14:05:31,True,Authentication & login,negative,"Login-Schleife: Konto existiert, Passwort-Reset führt immer wieder zur Registrierung zurück.",,high,substantive
lidl-plus,Juergen Buuck,2,,unübersichtlich und überladen,2026-05-20T13:30:46,True,Search & navigation,negative,App ist unübersichtlich und überladen.,Übersichtlichere und aufgeräumtere Oberfläche.,medium,insufficient
lidl-plus,Hartmut Harfe,1,,Leider ist die App Kunden unfreundlich programmiert. Wenn man zB. bei LidlPlus seine Adresse ändert bleibt eine vorhandene Adresse erhalten wenn man dort die Lieferadresse nicht ändert! Keine Info das die Adressen nicht identisch sind. Wenn man dann online bestellt fehlt jeglicher Hinweis das die Adressen nicht übereinstimmen. Die Rechnungsadresse muss man ebenfalls manuell ändern Kundenfreundlich wäre jeweils ein entsprechender Hinweis noch besser wäre mit einem Tippen diese zu übernehmen.,2026-05-20T13:13:48,True,Payment & checkout,negative,"Adressänderung übernimmt nicht automatisch Liefer- und Rechnungsadresse, kein Hinweis bei Abweichung.",Hinweis bei abweichenden Adressen und Option zur Übernahme per Tippen.,medium,substantive
lidl-plus,Dieter Nasdalla,3,,OK,2026-05-20T10:20:32,True,Other / unclear,neutral,,,low,insufficient
lidl-plus,Markus Hahnenkamm,1,,Ich verstehe nicht warum es so schwer ist dass diese App ohne Internetverbindung trotzdem den blöden QR Code anzeigen kann. In Wassertrüdingen und Eichstätt habe ich trotz Telekom und 3 Balken keinen Access. Und nicht immer hat man an der Kasse die Zeit nen Screenshot rauszukramen.,2026-05-20T08:39:34,True,Performance & stability,negative,"QR-Code wird ohne Internetverbindung nicht angezeigt, an der Kasse problematisch.",QR-Code auch offline anzeigen können.,high,substantive
lidl-plus,Stefan Grossmann,4,,Nach Monaten kann man sich bei der App wieder unter einem Google Pixel mit QPR anmelden. Es funktioniert zwar nicht mit fremden Browsern sondern nur wenn man kurz den Chrome als Standard einstellt aber zumindest steht man nicht mehr doof im Laden.,2026-05-20T07:17:12,True,Authentication & login,neutral,"Anmeldung funktioniert nur, wenn Chrome als Standardbrowser gesetzt ist.",Anmeldung mit beliebigen Browsern ermöglichen.,medium,substantive
lidl-plus,Mark S,1,,"Aktivierter Coupon ist Mal wieder nicht erfasst. Beschiss App. 17% auf Schafsmilch gewonnen. Mal ehrlich, ich fühle mich verar... Für son Kram soll ich meine Daten samt Einkaufverhalten preisgeben? Und die Tube Zahnpasta ab 70€ kann ich mir auch so kaufen Ich denke die App zu löschen ist die gute Alternative Und die 15% auf Porree bekomm ich nur mit der App? Dann geh ich doch zu Aldi, da bekomm ich alle Angebote ohne App. Mittlerweile könnte man meinen diese App gehört zu einem Shoppingsender",2026-05-19T23:39:04,True,Coupons & discounts,negative,"Aktivierte Coupons werden an der Kasse nicht erfasst, Angebote nur mit App.",Zuverlässige Erfassung aktivierter Coupons sicherstellen.,high,substantive
lidl-plus,Hans Hansen,1,,"Egal über welchen Weg man versucht sein Passwort zurückzusetzen, ständig kommt die Meldung ""Kapazität überschritten"". Die App ist leider nicht zu gebrauchen und wurde deshalb umgehend deinstalliert. Schade, kaufe ich eben woanders.",2026-05-19T23:02:15,True,Authentication & login,negative,"Passwort-Reset funktioniert nicht, ständige Fehlermeldung 'Kapazität überschritten'.",,high,substantive
lidl-plus,Ha Ba,1,,04/2026 - 05/2026 (!) Keine detaillierten Updateinfos für Nutzer. 👎,2026-05-19T21:13:41,True,"Other app features (themes, accessibility, customization)",negative,Keine detaillierten Updateinformationen für Nutzer.,Ausführliche Update-Changelogs bereitstellen.,low,substantive
lidl-plus,LI Allgäuer,4,,"Gute APP mit Platz nach oben. Bringt doch bitten den Pfad QR Scanner ganz nach oben auf die Startseite. Ein kleiner Button würde schon reichen. Sonst fehlt der APP nichts. Das Design ist etwas angestaubt, aber noch funktional.👍 Und wenn ich mir noch was wünschen könnte, dann wäre das ein Kassenbon per E-Mail (zusätzlich zu dem in der APP). 🤠",2026-05-19T21:10:53,True,Search & navigation,positive,,QR-Scanner-Button prominent auf der Startseite platzieren und Kassenbon zusätzlich per E-Mail versenden.,low,substantive
lidl-plus,Eva Ofner,1,,"Eine Registrierung ist nicht möglich, es kommt kein Registrierungscode. Die Hilfe bringt nur die Fehlermeldung, dass es sich um eine hochriskante Seite handelt. Beim digitalen Assistent im Browser funktioniert der 'Senden Button' nicht.",2026-05-19T20:48:12,True,Onboarding & registration,negative,"Registrierung scheitert, kein Code wird gesendet und Hilfe-Funktionen sind defekt.",,high,substantive
lidl-plus,W. H.,2,,"Wenn ich mich im Ausland (Urlaub) aufhalte, kann ich nicht auf die Angebot meines Heimatortes zugreifen. Sehr schade.",2026-05-19T20:23:59,True,Coupons & discounts,negative,Angebote des Heimatortes sind im Ausland nicht abrufbar.,Zugriff auf Heimatort-Angebote auch im Ausland ermöglichen.,medium,substantive
